segment_id,year_month,total_amt,txn_cnt,avg_ticket,ratio_종합소매점,ratio_연료판매,ratio_일반병원,ratio_한식,ratio_음/식료품소매,ratio_제조/도매,ratio_의약/의료품,ratio_차량관리/서비스,ratio_특화병원,ratio_의복/의류,ratio_차량판매,ratio_고기요리
과천시_M_4,202501,3644380264.0,196856.0,18512.924493030438,0.32496132786190274,0.10180232363774386,0.10426859747226071,0.189811615697848,0.02619791770218568,0.0648451851747618,0.02995963504046161,0.030389417157231847,0.033876242053571856,0.05219463984762515,0.00215127642123432,0.03954182193317247
과천시_F_4,202501,3523190165.0,145174.0,24268.74071803491,0.3211429438497128,0.0556833732287232,0.15822976413778458,0.17782615458881756,0.02737707846672462,0.02729108938518335,0.043886640480378915,0.02363599426516554,0.07084994005157551,0.06364995620533304,0.0024901120641761245,0.02793695327642475
과천시_M_6,202501,5442183254.0,220491.0,24682.110625830534,0.3737059036304353,0.12318821775983341,0.06838964694253302,0.16273390356178746,0.03644293991320021,0.01331300714225812,0.04263715758039914,0.05209370827799369,0.0417350597040024,0.032576731408453505,0.004152032807433452,0.04903169127167026
과천시_F_5,202501,4790739680.0,178917.0,26776.32466450924,0.38105268277079757,0.06658541293588374,0.12478506324533441,0.15869866744865652,0.04205228732109026,0.013530319352532256,0.036628896620878246,0.015924639261875793,0.06666290653634661,0.06525634990764544,0.0010762863960448058,0.02774648820291437
과천시_M_7,202501,3762061149.0,148242.0,25377.835896709435,0.4130769664189182,0.13791965081366933,0.06325866011104307,0.1250787158044121,0.048146136499730756,0.012220170220274695,0.04068080812493817,0.03198402056242411,0.046449335727422984,0.021612460776440346,0.00867236997997871,0.05090070496074747
과천시_F_2,202501,38853477.0,5067.0,7667.944937833037,0.2898932737145136,0.005174432885152563,0.07554710859416475,0.299001474302703,0.01048327671461915,0.020804838527615232,0.03271935316703151,0.011395018004518028,0.011093675548851163,0.21549282033563222,0.0,0.028394728205198786
과천시_F_10,202501,38501014.0,1209.0,31845.338296112488,0.6480341579791121,0.01969652811305615,0.05768276502491006,0.04467542824097299,0.05047855791228884,0.0033925403037172765,0.04825911247325798,0.052832846704563834,0.003151260758154487,0.02405460968440007,0.0,0.04774219280556616
과천시_F_11,202501,941895.0,38.0,24786.71052631579,0.9589816274637831,0.0,0.0,0.0,0.0,0.0,0.04101837253621688,0.0,0.0,0.0,0.0,0.0
수원시_M_4,202501,104977076824.0,3489390.0,30084.64998867997,0.3392855233695131,0.1225088611255001,0.12013558261169316,0.13235396721101536,0.04707029969204652,0.013629732637403824,0.03678737975368739,0.0685229491682311,0.03378368172279923,0.02811194838509037,0.008939414396793037,0.0488706599262268
수원시_F_7,202501,62840340866.0,1670888.0,37608.94857465012,0.32101416814347494,0.056963358780666405,0.17369152945567556,0.0863006977171541,0.15145478359098014,0.010434530253449967,0.05746748142139461,0.04012599916241102,0.05034061265823759,0.03251028033798399,0.0015423614874650285,0.018154196991106666
수원시_F_6,202501,106224046261.0,2765332.0,38412.76427604353,0.32878833801756696,0.0695369993450423,0.18349841706335618,0.09665406107461809,0.10101894576227638,0.01168973867930261,0.05044785518599478,0.048783730531671565,0.060059164048502395,0.02688247212471456,0.0018525273263697419,0.020787750840584415
수원시_F_4,202501,83738436421.0,2358690.0,35502.094985352036,0.3259714018028417,0.06463941793187238,0.21548918486829283,0.09606861973284646,0.045734097733787685,0.013819695293483345,0.04950234739967261,0.06574874021250711,0.05409610636637586,0.032094752720064845,0.011131879694044696,0.025703756244210493
수원시_M_3,202501,45733564434.0,2490896.0,18360.28659325801,0.33547698521888963,0.08833113615165114,0.08749051512224286,0.19577533166644817,0.03306596067689381,0.012073037616669766,0.030033721403265854,0.05930335570268477,0.039071014296574225,0.047834574647570446,0.006967151966366402,0.06457721553074296
수원시_F_2,202501,715406102.0,74034.0,9663.210173703974,0.34806170706422473,0.0098932782707723,0.055095999169295244,0.24229604410906064,0.044976762396310856,0.014586307330118325,0.05729299875904966,0.07837047729775828,0.01838988310554206,0.09526865979065559,6.257521878346013e-06,0.035761625185333976
수원시_F_1,202501,17114.0,6.0,2852.3333333333335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
안양시_F_5,202501,52167686250.0,1384519.0,37679.28518857452,0.3574146427704945,0.03871812782835538,0.17077230801954033,0.07992324847208003,0.0782230360301575,0.02582989840556439,0.051393420910958776,0.052478320404004866,0.07386545323654439,0.048214250227116874,0.0012132221130689968,0.021954071582113977
안양시_M_7,202501,38384421072.0,1078330.0,35596.17285246631,0.2574302497108642,0.08943479770297053,0.15420942181098535,0.09822667953431959,0.12859798035974046,0.030350823663255276,0.06640712492749425,0.05649243282042084,0.05557557616018378,0.029082694798337538,0.002497185883410168,0.031695032628018024
안양시_F_3,202501,11221633103.0,559594.0,20053.169088660707,0.3173806668256343,0.031779548453349994,0.16258123343750705,0.14085200289656857,0.03967639444052605,0.01493054794152725,0.05821998290086376,0.03888069871644364,0.07679985719768607,0.07095725354386603,0.0006632949611657707,0.047278518684861486
안양시_F_6,202501,55923606244.0,1506763.0,37115.06470758839,0.3989767202265105,0.038053044891012716,0.16013907112647727,0.07495918513565614,0.09264676818100108,0.026371158461194637,0.04549301732446407,0.043796664332469266,0.059852172629187586,0.03983432863959709,0.0007596957700677153,0.019118173282361914
