segment_id,year_month,total_amt,txn_cnt,avg_ticket,ratio_종합소매점,ratio_연료판매,ratio_일반병원,ratio_한식,ratio_음/식료품소매,ratio_제조/도매,ratio_의약/의료품,ratio_차량관리/서비스,ratio_특화병원,ratio_의복/의류,ratio_차량판매,ratio_고기요리,carbon_kg,carbon_score,cluster,cluster_name
과천시_M_4,202501,3644380264.0,196856.0,18512.92449303044,0.3249613278619027,0.1018023236377438,0.1042685974722607,0.189811615697848,0.0261979177021856,0.0648451851747618,0.0299596350404616,0.0303894171572318,0.0338762420535718,0.0521946398476251,0.0021512764212343,0.0395418219331724,210751.5805020909,57.1,2,종합소매점/한식/일반병원
과천시_F_4,202501,3523190165.0,145174.0,24268.74071803491,0.3211429438497128,0.0556833732287232,0.1582297641377845,0.1778261545888175,0.0273770784667246,0.0272910893851833,0.0438866404803789,0.0236359942651655,0.0708499400515755,0.063649956205333,0.0024901120641761,0.0279369532764247,209797.14320579643,57.5,2,종합소매점/한식/일반병원
과천시_M_6,202501,5442183254.0,220491.0,24682.110625830534,0.3737059036304353,0.1231882177598334,0.068389646942533,0.1627339035617874,0.0364429399132002,0.0133130071422581,0.0426371575803991,0.0520937082779936,0.0417350597040024,0.0325767314084535,0.0041520328074334,0.0490316912716702,298702.44402117113,53.4,1,종합소매점/한식/연료판매
과천시_F_5,202501,4790739680.0,178917.0,26776.32466450924,0.3810526827707975,0.0665854129358837,0.1247850632453344,0.1586986674486565,0.0420522873210902,0.0135303193525322,0.0366288966208782,0.0159246392618757,0.0666629065363466,0.0652563499076454,0.0010762863960448,0.0277464882029143,286430.91173117806,54.3,2,종합소매점/한식/일반병원
과천시_M_7,202501,3762061149.0,148242.0,25377.835896709435,0.4130769664189182,0.1379196508136693,0.063258660111043,0.1250787158044121,0.0481461364997307,0.0122201702202746,0.0406808081249381,0.0319840205624241,0.0464493357274229,0.0216124607764403,0.0086723699799787,0.0509007049607474,200299.16730319976,58.0,1,종합소매점/연료판매/한식
과천시_F_2,202501,38853477.0,5067.0,7667.944937833037,0.2898932737145136,0.0051744328851525,0.0755471085941647,0.299001474302703,0.0104832767146191,0.0208048385276152,0.0327193531670315,0.011395018004518,0.0110936755488511,0.2154928203356322,0.0,0.0283947282051987,3198.5706507863424,86.3,2,한식/종합소매점/의복/의류
과천시_F_10,202501,38501014.0,1209.0,31845.338296112488,0.6480341579791121,0.0196965281130561,0.05768276502491,0.0446754282409729,0.0504785579122888,0.0033925403037172,0.0482591124732579,0.0528328467045638,0.0031512607581544,0.0240546096844,0.0,0.0477421928055661,2063.969729633542,87.7,1,종합소매점/일반병원/차량관리/서비스
과천시_F_11,202501,941895.0,38.0,24786.71052631579,0.9589816274637832,0.0,0.0,0.0,0.0,0.0,0.0410183725362168,0.0,0.0,0.0,0.0,0.0,47.094750000000005,94.1,1,종합소매점/의약/의료품/연료판매
수원시_M_4,202501,104977076824.0,3489390.0,30084.64998867997,0.3392855233695131,0.1225088611255001,0.1201355826116931,0.1323539672110153,0.0470702996920465,0.0136297326374038,0.0367873797536873,0.0685229491682311,0.0337836817227992,0.0281119483850903,0.008939414396793,0.0488706599262268,5691520.36599409,4.1,0,종합소매점/한식/연료판매
수원시_F_7,202501,62840340866.0,1670888.0,37608.94857465012,0.3210141681434749,0.0569633587806664,0.1736915294556755,0.0863006977171541,0.1514547835909801,0.0104345302534499,0.0574674814213946,0.040125999162411,0.0503406126582375,0.0325102803379839,0.001542361487465,0.0181541969911066,3448460.6080132173,11.0,0,종합소매점/일반병원/음/식료품소매
수원시_F_6,202501,106224046261.0,2765332.0,38412.76427604353,0.3287883380175669,0.0695369993450423,0.1834984170633561,0.096654061074618,0.1010189457622763,0.0116897386793026,0.0504478551859947,0.0487837305316715,0.0600591640485023,0.0268824721247145,0.0018525273263697,0.0207877508405844,5739537.057437855,3.7,0,종합소매점/일반병원/음/식료품소매
수원시_F_4,202501,83738436421.0,2358690.0,35502.09498535204,0.3259714018028417,0.0646394179318723,0.2154891848682928,0.0960686197328464,0.0457340977337876,0.0138196952934833,0.0495023473996726,0.0657487402125071,0.0540961063663758,0.0320947527200648,0.0111318796940446,0.0257037562442104,4590056.482564527,5.9,0,종합소매점/일반병원/한식
수원시_M_3,202501,45733564434.0,2490896.0,18360.28659325801,0.3354769852188896,0.0883311361516511,0.0874905151222428,0.1957753316664481,0.0330659606768938,0.0120730376166697,0.0300337214032658,0.0593033557026847,0.0390710142965742,0.0478345746475704,0.0069671519663664,0.0645772155307429,2614825.0619726456,16.0,0,종합소매점/한식/연료판매
수원시_F_2,202501,715406102.0,74034.0,9663.210173703974,0.3480617070642247,0.0098932782707723,0.0550959991692952,0.2422960441090606,0.0449767623963108,0.0145863073301183,0.0572929987590496,0.0783704772977582,0.018389883105542,0.0952686597906555,6.257521878346013e-06,0.0357616251853339,45993.67218153953,68.0,2,종합소매점/한식/의복/의류
수원시_F_1,202501,17114.0,6.0,2852.333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8557,98.6,1,종합소매점/연료판매/일반병원
안양시_F_5,202501,52167686250.0,1384519.0,37679.28518857452,0.3574146427704945,0.0387181278283553,0.1707723080195403,0.07992324847208,0.0782230360301575,0.0258298984055643,0.0513934209109587,0.0524783204040048,0.0738654532365443,0.0482142502271168,0.0012132221130689,0.0219540715821139,2985668.194294081,14.6,0,종합소매점/일반병원/한식
안양시_M_7,202501,38384421072.0,1078330.0,35596.17285246631,0.2574302497108642,0.0894347977029705,0.1542094218109853,0.0982266795343195,0.1285979803597404,0.0303508236632552,0.0664071249274942,0.0564924328204208,0.0555755761601837,0.0290826947983375,0.0024971858834101,0.031695032628018,2086669.4140571768,21.9,0,종합소매점/일반병원/음/식료품소매
안양시_F_3,202501,11221633103.0,559594.0,20053.169088660707,0.3173806668256343,0.0317795484533499,0.162581233437507,0.1408520028965685,0.039676394440526,0.0149305479415272,0.0582199829008637,0.0388806987164436,0.076799857197686,0.070957253543866,0.0006632949611657,0.0472785186848614,680520.0949398713,41.1,2,종합소매점/일반병원/한식
안양시_F_6,202501,55923606244.0,1506763.0,37115.06470758839,0.3989767202265105,0.0380530448910127,0.1601390711264772,0.0749591851356561,0.092646768181001,0.0263711584611946,0.045493017324464,0.0437966643324692,0.0598521726291875,0.039834328639597,0.0007596957700677,0.0191181732823619,3130332.2086752355,13.2,0,종합소매점/일반병원/음/식료품소매
안양시_M_3,202501,15111407775.0,1075741.0,14047.44057816891,0.3321019352750037,0.065110784259908,0.0928781596174334,0.1743109719432329,0.0436497278609421,0.0187465200936405,0.0324438834189628,0.0671746537168204,0.0430460767057874,0.0561193283294947,0.0014427601050988,0.0729751986736748,882776.6969169152,37.9,2,종합소매점/한식/일반병원
안양시_M_8,202501,11899268695.0,348846.0,34110.37734415759,0.2588308730995068,0.0683833623596409,0.2028533022980339,0.0873424842881881,0.1093179090388341,0.0290464748751697,0.0878144415466951,0.0431304353398775,0.0620893501704596,0.02453630035984,0.00173473202535,0.0249203345984037,638758.039364444,42.0,3,종합소매점/일반병원/음/식료품소매
안양시_M_4,202501,38080707548.0,1578268.0,24128.162991329737,0.3242113521267914,0.0941552690482691,0.123723475243188,0.1185136280706952,0.0657734517511195,0.0226376356521838,0.0403612907397331,0.0785501354562556,0.0410467264151693,0.0382894696347729,0.002129410595072,0.0506081552667496,2122748.8916994715,21.5,0,종합소매점/일반병원/한식
안양시_M_2,202501,305883584.0,43314.0,7062.0026781179295,0.4437345652748204,0.0104995277748981,0.0497232991645686,0.1997520454328933,0.0174730029149837,0.0401458981134315,0.0362958715719324,0.001905754098335,0.0174802040375253,0.1095452687230641,0.0,0.073444562893547,20320.394111088084,73.1,2,종합소매점/한식/의복/의류
안양시_F_2,202501,291249555.0,34294.0,8492.726278649327,0.4084076384612684,0.0104948098962206,0.0591127394672287,0.2106784901500341,0.0232007932127627,0.0150607484908257,0.0647532180159451,0.0024773939767686,0.0291709249268094,0.1285258032831764,0.0,0.0481174401189598,20177.44020183639,73.5,2,종합소매점/한식/의복/의류
안양시_F_9,202501,2773578872.0,72667.0,38168.34150302063,0.3308888432304968,0.0150281111979384,0.2225373017710609,0.0654229145641398,0.1216865251194314,0.0159899269064634,0.1233268481580263,0.0120448322824482,0.0461299406906077,0.03208335206631,0.000627024960698,0.0142343790523785,152026.79971510818,59.4,3,종합소매점/일반병원/의약/의료품
안양시_M_10,202501,169273534.0,4623.0,36615.51676400605,0.3125705142753512,0.0164122204589365,0.2634492781940659,0.0724776350822939,0.120661882288042,0.0051329689721237,0.1360226794154182,0.0003502617636575,0.0433682793167546,0.0085753180454054,0.0,0.0209789621879507,8681.412858607959,79.5,3,종합소매점/일반병원/의약/의료품
안양시_M_11,202501,1408353.0,56.0,25149.160714285717,0.7669488697826667,0.0,0.016631896152063,0.1386983534932074,0.007075272895857,0.0,0.0706456076762057,0.0,0.0,0.0,0.0,0.0,70.41765,93.2,1,종합소매점/한식/의약/의료품
이천시_M_5,202501,34059273711.0,923371.0,36885.79532062411,0.4378778640963958,0.2507669935934769,0.0346861989112496,0.073323316704192,0.0742768060945139,0.0152066709286349,0.0205073185192313,0.0297068835769316,0.0175804089023485,0.0176390087963621,0.0017972204157443,0.0266313094609185,1793079.459837904,24.7,1,종합소매점/연료판매/음/식료품소매
이천시_F_7,202501,10937237438.0,241504.0,45288.01774711806,0.4148770976025842,0.1419957335710734,0.0554408614972405,0.0631798919863741,0.1837458966314115,0.0147191342341223,0.0362401985963721,0.018887558579507,0.0288954436372247,0.0255879693731992,0.0010626983796023,0.0153675159112882,588841.1263886426,43.4,1,종합소매점/음/식료품소매/연료판매
이천시_F_4,202501,16045058540.0,427578.0,37525.453928873794,0.5003126434573183,0.1345585114759572,0.0902414242176656,0.0733654208373396,0.0793165284061077,0.0092413451658554,0.03083937778261,0.0166847664261476,0.0208616965850773,0.0220780428817452,0.0013490488227003,0.0211511939414753,855389.4505729345,38.8,1,종합소매점/연료판매/일반병원
이천시_M_6,202501,32313931613.0,771467.0,41886.34330826853,0.341061151801205,0.3066422933240117,0.0333703040288814,0.0745370983067071,0.0958852859349548,0.0231732767056656,0.0224864760805159,0.0429141860881787,0.0219131039375357,0.0126735750558895,0.0023464310253055,0.0229968177111486,1677126.5362972345,26.5,1,종합소매점/연료판매/음/식료품소매
이천시_F_6,202501,18677836573.0,446395.0,41841.50040435041,0.4524570720781719,0.1479063160755157,0.0582493767706717,0.0696153135057986,0.1367759692198306,0.0137674540359153,0.0274140258104243,0.0247923524148944,0.0251165293806704,0.0239570499803919,0.0015744280992125,0.0183741126285023,1001011.7082957425,36.5,1,종합소매점/연료판매/음/식료품소매
이천시_M_7,202501,17743423402.0,396050.0,44800.96806463831,0.2803730583541074,0.3162795421266273,0.0375744922737868,0.069097101882429,0.1469244457217364,0.0213768084442739,0.0286584001502656,0.0444636136848837,0.0226661524595381,0.0088656488755627,0.0035018762855764,0.0202188597412123,910767.2143598858,37.0,1,연료판매/종합소매점/음/식료품소매
이천시_F_9,202501,573466091.0,12489.0,45917.69485146929,0.3087678417640104,0.137859809006815,0.0584498327754906,0.0866785494772006,0.2163319543485004,0.0095384450898004,0.1014193285075767,0.0136600883046672,0.025305638086273,0.0226247278164271,0.0038087994173412,0.0155549854058969,30619.4816831238,70.3,3,종합소매점/음/식료품소매/연료판매
이천시_M_8,202501,4586933972.0,101255.0,45300.81449804948,0.2745247610485248,0.2584429427614361,0.0506065423646028,0.069193357229694,0.1850296100158312,0.0166881410033638,0.0506295367698345,0.0361262687003944,0.0299229829895015,0.0089530809551365,0.0012440710576563,0.0186387051040237,235506.77727807715,56.2,1,종합소매점/연료판매/음/식료품소매
이천시_F_2,202501,60020485.0,6792.0,8836.938309776207,0.3919437767271327,0.0649393557025131,0.1095970008053754,0.114904641738543,0.0358452502154103,0.0168428392563331,0.0613518968235251,0.0033123595060497,0.0504340142590639,0.1263112039049585,0.0,0.0245176610610947,4138.213207896424,82.6,2,종합소매점/의복/의류/한식
이천시_F_10,202501,34400716.0,556.0,61871.79136690647,0.2458623377367125,0.1973680794073953,0.0390471704660554,0.1554895671506841,0.1952398562847282,0.0048649259899352,0.0897673848062304,0.0,0.0008078281434803,0.0,0.0,0.0715528500147782,1720.0357999999997,89.0,1,종합소매점/연료판매/음/식료품소매
이천시_M_10,202501,24471739.0,615.0,39791.44552845528,0.4501283083164366,0.2248376206375273,0.0266002491958621,0.0524256099201545,0.099030791613747,0.0169407969476226,0.0600499910937267,0.0017760857281949,0.0028660985080115,0.0476984756136889,0.0,0.0176459724250274,1398.6766468874082,89.5,1,종합소매점/연료판매/음/식료품소매
포천시_F_4,202501,6687863391.0,177917.0,37589.79406689637,0.3363746024671866,0.2102839979734783,0.0421906023534415,0.1210231937480054,0.0822400490643193,0.0468486768244324,0.0280655709179168,0.0393168545978104,0.0166928161574952,0.027081648540044,0.0013612839264205,0.0485207034294491,361560.9244258333,51.6,1,종합소매점/연료판매/한식
포천시_F_5,202501,9082365233.0,237015.0,38319.790869776174,0.3246373992602055,0.2266105424629846,0.0465148290111871,0.1126654675428628,0.0808859950554615,0.0308745255110637,0.0288962011073743,0.0446491764353496,0.0198518426503275,0.0339812250503799,0.001214368302532,0.0492184276102709,500412.74619584763,47.0,1,종합소매점/연료판매/한식
